# 16383 samples -> 679 bus cycles
  3064 MW     a=294F d=01 slot=5C n=6
  3082 MW     a=294E d=A8 slot=5C n=6
  3094 M1     a=0C48 d=DD slot=5C n=15
  3124 M1     a=0C49 d=E5 slot=5C n=15
  3166 MW     a=294D d=E0 slot=5C n=6
  3184 MW     a=294C d=00 slot=5C n=6
  3196 M1     a=0C4A d=CD slot=5C n=15
  3226 MR     a=0C4B d=9A slot=5C n=12
  3244 MR     a=0C4C d=FD slot=5C n=12
  3274 MW     a=294B d=0C slot=5C n=6
  3292 MW     a=294A d=4D slot=5C n=6
  3304 M1     a=FD9A d=FF slot=5C n=15
  3346 MW     a=2949 d=FD slot=5C n=6
  3364 MW     a=2948 d=9B slot=5C n=6
  3376 M1     a=0038 d=C3 slot=5C n=15
  3406 MR     a=0039 d=3C slot=5C n=12
  3424 MR     a=003A d=0C slot=5C n=12
  3442 M1     a=0C3C d=E5 slot=5C n=15
  3484 MW     a=2947 d=55 slot=5C n=6
  3502 MW     a=2946 d=36 slot=5C n=6
  3514 M1     a=0C3D d=D5 slot=5C n=15
  3556 MW     a=2945 d=55 slot=5C n=6
  3574 MW     a=2944 d=27 slot=5C n=6
  3586 M1     a=0C3E d=C5 slot=5C n=15
  3628 MW     a=2943 d=5F slot=5C n=6
  3646 MW     a=2942 d=10 slot=5C n=6
  3658 M1     a=0C3F d=F5 slot=5C n=15
  3700 MW     a=2941 d=98 slot=5C n=6
  3718 MW     a=2940 d=44 slot=5C n=6
  3730 M1     a=0C40 d=D9 slot=5C n=15
  3760 M1     a=0C41 d=08 slot=5C n=15
  3790 M1     a=0C42 d=E5 slot=5C n=15
  3832 MW     a=293F d=5C slot=5C n=6
  3850 MW     a=293E d=AE slot=5C n=6
  3862 M1     a=0C43 d=D5 slot=5C n=15
  3904 MW     a=293D d=B4 slot=5C n=6
  3922 MW     a=293C d=28 slot=5C n=6
  3934 M1     a=0C44 d=C5 slot=5C n=15
  3976 MW     a=293B d=00 slot=5C n=6
  3994 MW     a=293A d=00 slot=5C n=6
  4006 M1     a=0C45 d=F5 slot=5C n=15
  4048 MW     a=2939 d=5C slot=5C n=6
  4066 MW     a=2938 d=00 slot=5C n=6
  4078 M1     a=0C46 d=FD slot=5C n=15
  4108 M1     a=0C47 d=E5 slot=5C n=15
  4150 MW     a=2937 d=01 slot=5C n=6
  4168 MW     a=2936 d=A8 slot=5C n=6
  4180 M1     a=0C48 d=DD slot=5C n=15
  4210 M1     a=0C49 d=E5 slot=5C n=15
  4252 MW     a=2935 d=E0 slot=5C n=6
  4270 MW     a=2934 d=00 slot=5C n=6
  4282 M1     a=0C4A d=CD slot=5C n=15
  4312 MR     a=0C4B d=9A slot=5C n=12
  4330 MR     a=0C4C d=FD slot=5C n=12
  4360 MW     a=2933 d=0C slot=5C n=6
  4378 MW     a=2932 d=4D slot=5C n=6
  4390 M1     a=FD9A d=FF slot=5C n=15
  4432 MW     a=2931 d=FD slot=5C n=6
  4450 MW     a=2930 d=9B slot=5C n=6
  4462 M1     a=0038 d=C3 slot=5C n=15
  4492 MR     a=0039 d=3C slot=5C n=12
  4510 MR     a=003A d=0C slot=5C n=12
  4528 M1     a=0C3C d=E5 slot=5C n=15
  4570 MW     a=292F d=5C slot=5C n=6
  4588 MW     a=292E d=AE slot=5C n=6
  4600 M1     a=0C3D d=D5 slot=5C n=15
  4642 MW     a=292D d=B4 slot=5C n=6
  4660 MW     a=292C d=28 slot=5C n=6
  4672 M1     a=0C3E d=C5 slot=5C n=15
  4714 MW     a=292B d=00 slot=5C n=6
  4732 MW     a=292A d=00 slot=5C n=6
  4744 M1     a=0C3F d=F5 slot=5C n=15
  4786 MW     a=2929 d=5C slot=5C n=6
  4804 MW     a=2928 d=00 slot=5C n=6
  4816 M1     a=0C40 d=D9 slot=5C n=15
  4846 M1     a=0C41 d=08 slot=5C n=15
  4876 M1     a=0C42 d=E5 slot=5C n=15
  4918 MW     a=2927 d=55 slot=5C n=6
  4936 MW     a=2926 d=36 slot=5C n=6
  4948 M1     a=0C43 d=D5 slot=5C n=15
  4990 MW     a=2925 d=55 slot=5C n=6
  5008 MW     a=2924 d=27 slot=5C n=6
  5020 M1     a=0C44 d=C5 slot=5C n=15
  5062 MW     a=2923 d=5F slot=5C n=6
  5080 MW     a=2922 d=10 slot=5C n=6
  5092 M1     a=0C45 d=F5 slot=5C n=15
  5134 MW     a=2921 d=98 slot=5C n=6
  5152 MW     a=2920 d=44 slot=5C n=6
  5164 M1     a=0C46 d=FD slot=5C n=15
  5194 M1     a=0C47 d=E5 slot=5C n=15
  5236 MW     a=291F d=01 slot=5C n=6
  5254 MW     a=291E d=A8 slot=5C n=6
  5266 M1     a=0C48 d=DD slot=5C n=15
  5296 M1     a=0C49 d=E5 slot=5C n=15
  5338 MW     a=291D d=E0 slot=5C n=6
  5356 MW     a=291C d=00 slot=5C n=6
  5368 M1     a=0C4A d=CD slot=5C n=15
  5398 MR     a=0C4B d=9A slot=5C n=12
  5416 MR     a=0C4C d=FD slot=5C n=12
  5446 MW     a=291B d=0C slot=5C n=6
  5464 MW     a=291A d=4D slot=5C n=6
  5476 M1     a=FD9A d=FF slot=5C n=15
  5518 MW     a=2919 d=FD slot=5C n=6
  5536 MW     a=2918 d=9B slot=5C n=6
  5548 M1     a=0038 d=C3 slot=5C n=15
  5578 MR     a=0039 d=3C slot=5C n=12
  5596 MR     a=003A d=0C slot=5C n=12
  5614 M1     a=0C3C d=E5 slot=5C n=15
  5656 MW     a=2917 d=55 slot=5C n=6
  5674 MW     a=2916 d=36 slot=5C n=6
  5686 M1     a=0C3D d=D5 slot=5C n=15
  5728 MW     a=2915 d=55 slot=5C n=6
  5746 MW     a=2914 d=27 slot=5C n=6
  5758 M1     a=0C3E d=C5 slot=5C n=15
  5800 MW     a=2913 d=5F slot=5C n=6
  5818 MW     a=2912 d=10 slot=5C n=6
  5830 M1     a=0C3F d=F5 slot=5C n=15
  5872 MW     a=2911 d=98 slot=5C n=6
  5890 MW     a=2910 d=44 slot=5C n=6
  5902 M1     a=0C40 d=D9 slot=5C n=15
  5932 M1     a=0C41 d=08 slot=5C n=15
  5962 M1     a=0C42 d=E5 slot=5C n=15
  6004 MW     a=290F d=5C slot=5C n=6
  6022 MW     a=290E d=AE slot=5C n=6
  6034 M1     a=0C43 d=D5 slot=5C n=15
  6076 MW     a=290D d=B4 slot=5C n=6
  6094 MW     a=290C d=28 slot=5C n=6
  6106 M1     a=0C44 d=C5 slot=5C n=15
  6148 MW     a=290B d=00 slot=5C n=6
  6166 MW     a=290A d=00 slot=5C n=6
  6178 M1     a=0C45 d=F5 slot=5C n=15
  6220 MW     a=2909 d=5C slot=5C n=6
  6238 MW     a=2908 d=00 slot=5C n=6
  6250 M1     a=0C46 d=FD slot=5C n=15
  6280 M1     a=0C47 d=E5 slot=5C n=15
  6322 MW     a=2907 d=01 slot=5C n=6
  6340 MW     a=2906 d=A8 slot=5C n=6
  6352 M1     a=0C48 d=DD slot=5C n=15
  6382 M1     a=0C49 d=E5 slot=5C n=15
  6424 MW     a=2905 d=E0 slot=5C n=6
  6442 MW     a=2904 d=00 slot=5C n=6
  6454 M1     a=0C4A d=CD slot=5C n=15
  6484 MR     a=0C4B d=9A slot=5C n=12
  6502 MR     a=0C4C d=FD slot=5C n=12
  6532 MW     a=2903 d=0C slot=5C n=6
  6550 MW     a=2902 d=4D slot=5C n=6
  6562 M1     a=FD9A d=FF slot=5C n=15
  6604 MW     a=2901 d=FD slot=5C n=6
  6622 MW     a=2900 d=9B slot=5C n=6
  6634 M1     a=0038 d=C3 slot=5C n=15
  6664 MR     a=0039 d=3C slot=5C n=12
  6682 MR     a=003A d=0C slot=5C n=12
  6700 M1     a=0C3C d=E5 slot=5C n=15
  6742 MW     a=28FF d=5C slot=5C n=6
  6760 MW     a=28FE d=AE slot=5C n=6
  6772 M1     a=0C3D d=D5 slot=5C n=15
  6814 MW     a=28FD d=B4 slot=5C n=6
  6832 MW     a=28FC d=28 slot=5C n=6
  6844 M1     a=0C3E d=C5 slot=5C n=15
  6886 MW     a=28FB d=00 slot=5C n=6
  6904 MW     a=28FA d=00 slot=5C n=6
  6916 M1     a=0C3F d=F5 slot=5C n=15
  6958 MW     a=28F9 d=5C slot=5C n=6
  6976 MW     a=28F8 d=00 slot=5C n=6
  6988 M1     a=0C40 d=D9 slot=5C n=15
  7018 M1     a=0C41 d=08 slot=5C n=15
  7048 M1     a=0C42 d=E5 slot=5C n=15
  7090 MW     a=28F7 d=55 slot=5C n=6
  7108 MW     a=28F6 d=36 slot=5C n=6
  7120 M1     a=0C43 d=D5 slot=5C n=15
  7162 MW     a=28F5 d=55 slot=5C n=6
  7180 MW     a=28F4 d=27 slot=5C n=6
  7192 M1     a=0C44 d=C5 slot=5C n=15
  7234 MW     a=28F3 d=5F slot=5C n=6
  7252 MW     a=28F2 d=10 slot=5C n=6
  7264 M1     a=0C45 d=F5 slot=5C n=15
  7306 MW     a=28F1 d=98 slot=5C n=6
  7324 MW     a=28F0 d=44 slot=5C n=6
  7336 M1     a=0C46 d=FD slot=5C n=15
  7366 M1     a=0C47 d=E5 slot=5C n=15
  7408 MW     a=28EF d=01 slot=5C n=6
  7426 MW     a=28EE d=A8 slot=5C n=6
  7438 M1     a=0C48 d=DD slot=5C n=15
  7468 M1     a=0C49 d=E5 slot=5C n=15
  7510 MW     a=28ED d=E0 slot=5C n=6
  7528 MW     a=28EC d=00 slot=5C n=6
  7540 M1     a=0C4A d=CD slot=5C n=15
  7570 MR     a=0C4B d=9A slot=5C n=12
  7588 MR     a=0C4C d=FD slot=5C n=12
  7618 MW     a=28EB d=0C slot=5C n=6
  7636 MW     a=28EA d=4D slot=5C n=6
  7648 M1     a=FD9A d=FF slot=5C n=15
  7690 MW     a=28E9 d=FD slot=5C n=6
  7708 MW     a=28E8 d=9B slot=5C n=6
  7720 M1     a=0038 d=C3 slot=5C n=15
  7750 MR     a=0039 d=3C slot=5C n=12
  7768 MR     a=003A d=0C slot=5C n=12
  7786 M1     a=0C3C d=E5 slot=5C n=15
  7828 MW     a=28E7 d=55 slot=5C n=6
