# 16383 samples -> 679 bus cycles
 13138 MW     a=2870 d=9B slot=5C n=6
 13150 M1     a=0038 d=C3 slot=5C n=15
 13180 MR     a=0039 d=3C slot=5C n=12
 13198 MR     a=003A d=0C slot=5C n=12
 13216 M1     a=0C3C d=E5 slot=5C n=15
 13258 MW     a=286F d=5C slot=5C n=6
 13276 MW     a=286E d=AE slot=5C n=6
 13288 M1     a=0C3D d=D5 slot=5C n=15
 13330 MW     a=286D d=B4 slot=5C n=6
 13348 MW     a=286C d=28 slot=5C n=6
 13360 M1     a=0C3E d=C5 slot=5C n=15
 13402 MW     a=286B d=00 slot=5C n=6
 13420 MW     a=286A d=00 slot=5C n=6
 13432 M1     a=0C3F d=F5 slot=5C n=15
 13474 MW     a=2869 d=5C slot=5C n=6
 13492 MW     a=2868 d=00 slot=5C n=6
 13504 M1     a=0C40 d=D9 slot=5C n=15
 13534 M1     a=0C41 d=08 slot=5C n=15
 13564 M1     a=0C42 d=E5 slot=5C n=15
 13606 MW     a=2867 d=55 slot=5C n=6
 13624 MW     a=2866 d=36 slot=5C n=6
 13636 M1     a=0C43 d=D5 slot=5C n=15
 13678 MW     a=2865 d=55 slot=5C n=6
 13696 MW     a=2864 d=27 slot=5C n=6
 13708 M1     a=0C44 d=C5 slot=5C n=15
 13750 MW     a=2863 d=5F slot=5C n=6
 13768 MW     a=2862 d=10 slot=5C n=6
 13780 M1     a=0C45 d=F5 slot=5C n=15
 13822 MW     a=2861 d=98 slot=5C n=6
 13840 MW     a=2860 d=44 slot=5C n=6
 13852 M1     a=0C46 d=FD slot=5C n=15
 13882 M1     a=0C47 d=E5 slot=5C n=15
 13924 MW     a=285F d=01 slot=5C n=6
 13942 MW     a=285E d=A8 slot=5C n=6
 13954 M1     a=0C48 d=DD slot=5C n=15
 13984 M1     a=0C49 d=E5 slot=5C n=15
 14026 MW     a=285D d=E0 slot=5C n=6
 14044 MW     a=285C d=00 slot=5C n=6
 14056 M1     a=0C4A d=CD slot=5C n=15
 14086 MR     a=0C4B d=9A slot=5C n=12
 14104 MR     a=0C4C d=FD slot=5C n=12
 14134 MW     a=285B d=0C slot=5C n=6
 14152 MW     a=285A d=4D slot=5C n=6
 14164 M1     a=FD9A d=FF slot=5C n=15
 14206 MW     a=2859 d=FD slot=5C n=6
 14224 MW     a=2858 d=9B slot=5C n=6
 14236 M1     a=0038 d=C3 slot=5C n=15
 14266 MR     a=0039 d=3C slot=5C n=12
 14284 MR     a=003A d=0C slot=5C n=12
 14302 M1     a=0C3C d=E5 slot=5C n=15
 14344 MW     a=2857 d=55 slot=5C n=6
 14362 MW     a=2856 d=36 slot=5C n=6
 14374 M1     a=0C3D d=D5 slot=5C n=15
 14416 MW     a=2855 d=55 slot=5C n=6
 14434 MW     a=2854 d=27 slot=5C n=6
 14446 M1     a=0C3E d=C5 slot=5C n=15
 14488 MW     a=2853 d=5F slot=5C n=6
 14506 MW     a=2852 d=10 slot=5C n=6
 14518 M1     a=0C3F d=F5 slot=5C n=15
 14560 MW     a=2851 d=98 slot=5C n=6
 14578 MW     a=2850 d=44 slot=5C n=6
 14590 M1     a=0C40 d=D9 slot=5C n=15
 14620 M1     a=0C41 d=08 slot=5C n=15
 14650 M1     a=0C42 d=E5 slot=5C n=15
 14692 MW     a=284F d=5C slot=5C n=6
 14710 MW     a=284E d=AE slot=5C n=6
 14722 M1     a=0C43 d=D5 slot=5C n=15
 14764 MW     a=284D d=B4 slot=5C n=6
 14782 MW     a=284C d=28 slot=5C n=6
 14794 M1     a=0C44 d=C5 slot=5C n=15
 14836 MW     a=284B d=00 slot=5C n=6
 14854 MW     a=284A d=00 slot=5C n=6
 14866 M1     a=0C45 d=F5 slot=5C n=15
 14908 MW     a=2849 d=5C slot=5C n=6
 14926 MW     a=2848 d=00 slot=5C n=6
 14938 M1     a=0C46 d=FD slot=5C n=15
 14968 M1     a=0C47 d=E5 slot=5C n=15
 15010 MW     a=2847 d=01 slot=5C n=6
 15028 MW     a=2846 d=A8 slot=5C n=6
 15040 M1     a=0C48 d=DD slot=5C n=15
 15070 M1     a=0C49 d=E5 slot=5C n=15
 15112 MW     a=2845 d=E0 slot=5C n=6
 15130 MW     a=2844 d=00 slot=5C n=6
 15142 M1     a=0C4A d=CD slot=5C n=15
 15172 MR     a=0C4B d=9A slot=5C n=12
 15190 MR     a=0C4C d=FD slot=5C n=12
 15220 MW     a=2843 d=0C slot=5C n=6
 15238 MW     a=2842 d=4D slot=5C n=6
 15250 M1     a=FD9A d=FF slot=5C n=15
 15292 MW     a=2841 d=FD slot=5C n=6
 15310 MW     a=2840 d=9B slot=5C n=6
 15322 M1     a=0038 d=C3 slot=5C n=15
 15352 MR     a=0039 d=3C slot=5C n=12
 15370 MR     a=003A d=0C slot=5C n=12
 15388 M1     a=0C3C d=E5 slot=5C n=15
 15430 MW     a=283F d=5C slot=5C n=6
 15448 MW     a=283E d=AE slot=5C n=6
 15460 M1     a=0C3D d=D5 slot=5C n=15
 15502 MW     a=283D d=B4 slot=5C n=6
 15520 MW     a=283C d=28 slot=5C n=6
 15532 M1     a=0C3E d=C5 slot=5C n=15
 15574 MW     a=283B d=00 slot=5C n=6
 15592 MW     a=283A d=00 slot=5C n=6
 15604 M1     a=0C3F d=F5 slot=5C n=15
 15646 MW     a=2839 d=5C slot=5C n=6
 15664 MW     a=2838 d=00 slot=5C n=6
 15676 M1     a=0C40 d=D9 slot=5C n=15
 15706 M1     a=0C41 d=08 slot=5C n=15
 15736 M1     a=0C42 d=E5 slot=5C n=15
 15778 MW     a=2837 d=55 slot=5C n=6
 15796 MW     a=2836 d=36 slot=5C n=6
 15808 M1     a=0C43 d=D5 slot=5C n=15
 15850 MW     a=2835 d=55 slot=5C n=6
 15868 MW     a=2834 d=27 slot=5C n=6
 15880 M1     a=0C44 d=C5 slot=5C n=15
 15922 MW     a=2833 d=5F slot=5C n=6
 15940 MW     a=2832 d=10 slot=5C n=6
 15952 M1     a=0C45 d=F5 slot=5C n=15
 15994 MW     a=2831 d=98 slot=5C n=6
 16012 MW     a=2830 d=44 slot=5C n=6
 16024 M1     a=0C46 d=FD slot=5C n=15
 16054 M1     a=0C47 d=E5 slot=5C n=15
 16096 MW     a=282F d=01 slot=5C n=6
 16114 MW     a=282E d=A8 slot=5C n=6
 16126 M1     a=0C48 d=DD slot=5C n=15
 16156 M1     a=0C49 d=E5 slot=5C n=15
 16198 MW     a=282D d=E0 slot=5C n=6
 16216 MW     a=282C d=00 slot=5C n=6
 16228 M1     a=0C4A d=CD slot=5C n=15
 16258 MR     a=0C4B d=9A slot=5C n=12
 16276 MR     a=0C4C d=FD slot=5C n=12
 16306 MW     a=282B d=0C slot=5C n=6
 16324 MW     a=282A d=4D slot=5C n=6
 16336 M1     a=FD9A d=FF slot=5C n=15
 16378 MW     a=2829 d=FD slot=5C n=6
