# 16385 samples -> 666 bus cycles
 12621 MR     a=3A3A d=5C slot=D4 n=12
 12639 M1     a=E7E6 d=3A slot=D4 n=15
 12669 MR     a=E7E7 d=3A slot=D4 n=12
 12687 MR     a=E7E8 d=3A slot=D4 n=12
 12705 MR     a=3A3A d=5C slot=D4 n=12
 12723 M1     a=E7E9 d=3A slot=D4 n=15
 12753 MR     a=E7EA d=3A slot=D4 n=12
 12771 MR     a=E7EB d=3A slot=D4 n=12
 12789 MR     a=3A3A d=5C slot=D4 n=12
 12807 M1     a=E7EC d=3A slot=D4 n=15
 12837 MR     a=E7ED d=3A slot=D4 n=12
 12855 MR     a=E7EE d=3A slot=D4 n=12
 12873 MR     a=3A3A d=5C slot=D4 n=12
 12891 M1     a=E7EF d=3A slot=D4 n=15
 12921 MR     a=E7F0 d=3A slot=D4 n=12
 12939 MR     a=E7F1 d=3A slot=D4 n=12
 12957 MR     a=3A3A d=5C slot=D4 n=12
 12975 M1     a=E7F2 d=3A slot=D4 n=15
 13005 MR     a=E7F3 d=3A slot=D4 n=12
 13023 MR     a=E7F4 d=3A slot=D4 n=12
 13041 MR     a=3A3A d=5C slot=D4 n=12
 13059 M1     a=E7F5 d=3A slot=D4 n=15
 13089 MR     a=E7F6 d=3A slot=D4 n=12
 13107 MR     a=E7F7 d=3A slot=D4 n=12
 13125 MR     a=3A3A d=5C slot=D4 n=12
 13143 M1     a=E7F8 d=3A slot=D4 n=15
 13173 MR     a=E7F9 d=3A slot=D4 n=12
 13191 MR     a=E7FA d=3A slot=D4 n=12
 13209 MR     a=3A3A d=5C slot=D4 n=12
 13227 M1     a=E7FB d=3A slot=D4 n=15
 13257 MR     a=E7FC d=3A slot=D4 n=12
 13275 MR     a=E7FD d=3A slot=D4 n=12
 13293 MR     a=3A3A d=5C slot=D4 n=12
 13311 M1     a=E7FE d=3A slot=D4 n=15
 13341 MR     a=E7FF d=3A slot=D4 n=12
 13359 MR     a=E800 d=05 slot=D4 n=12
 13377 MR     a=053A d=26 slot=D4 n=12
 13395 M1     a=E801 d=80 slot=D4 n=15
 13425 M1     a=E802 d=33 slot=D4 n=15
 13467 M1     a=E803 d=33 slot=D4 n=15
 13509 M1     a=E804 d=33 slot=D4 n=15
 13551 M1     a=E805 d=33 slot=D4 n=15
 13593 M1     a=E806 d=33 slot=D4 n=15
 13635 M1     a=E807 d=33 slot=D4 n=15
 13677 M1     a=E808 d=33 slot=D4 n=15
 13719 M1     a=E809 d=33 slot=D4 n=15
 13761 M1     a=E80A d=33 slot=D4 n=15
 13803 M1     a=E80B d=54 slot=D4 n=15
 13833 M1     a=E80C d=33 slot=D4 n=15
 13875 M1     a=E80D d=33 slot=D4 n=15
 13917 M1     a=E80E d=54 slot=D4 n=15
 13947 M1     a=E80F d=45 slot=D4 n=15
 13977 M1     a=E810 d=33 slot=D4 n=15
 14019 M1     a=E811 d=34 slot=D4 n=15
 14049 MR     a=8CEC d=E3 slot=D4 n=12
 14079 MW     a=8CEC d=E4 slot=D4 n=6
 14091 M1     a=E812 d=34 slot=D4 n=15
 14121 MR     a=8CEC d=FF slot=D4 n=12
 14151 MW     a=8CEC d=00 slot=D4 n=6
 14163 M1     a=E813 d=3F slot=D4 n=15
 14193 M1     a=E814 d=33 slot=D4 n=15
 14235 M1     a=E815 d=34 slot=D4 n=15
 14265 MR     a=8CEC d=4A slot=D4 n=12
 14295 MW     a=8CEC d=4B slot=D4 n=6
 14307 M1     a=E816 d=4F slot=D4 n=15
 14337 M1     a=E817 d=FF slot=D4 n=15
 14379 MW     a=F0DA d=E8 slot=D4 n=6
 14397 MW     a=F0D9 d=18 slot=D4 n=6
 14409 M1     a=0038 d=C3 slot=D4 n=15
 14439 MR     a=0039 d=3C slot=D4 n=12
 14457 MR     a=003A d=0C slot=D4 n=12
 14475 M1     a=0C3C d=E5 slot=D4 n=15
 14517 MW     a=F0D8 d=8C slot=D4 n=6
 14535 MW     a=F0D7 d=EC slot=D4 n=6
 14547 M1     a=0C3D d=D5 slot=D4 n=15
 14589 MW     a=F0D6 d=8C slot=D4 n=6
 14607 MW     a=F0D5 d=28 slot=D4 n=6
 14619 M1     a=0C3E d=C5 slot=D4 n=15
 14661 MW     a=F0D4 d=EC slot=D4 n=6
 14679 MW     a=F0D3 d=26 slot=D4 n=6
 14691 M1     a=0C3F d=F5 slot=D4 n=15
 14733 MW     a=F0D2 d=26 slot=D4 n=6
 14751 MW     a=F0D1 d=09 slot=D4 n=6
 14763 M1     a=0C40 d=D9 slot=D4 n=15
 14793 M1     a=0C41 d=08 slot=D4 n=15
 14823 M1     a=0C42 d=E5 slot=D4 n=15
 14865 MW     a=F0D0 d=CB slot=D4 n=6
 14883 MW     a=F0CF d=00 slot=D4 n=6
 14895 M1     a=0C43 d=D5 slot=D4 n=15
 14937 MW     a=F0CE d=E3 slot=D4 n=6
 14955 MW     a=F0CD d=80 slot=D4 n=6
 14967 M1     a=0C44 d=C5 slot=D4 n=15
 15009 MW     a=F0CC d=5F slot=D4 n=6
 15027 MW     a=F0CB d=FC slot=D4 n=6
 15039 M1     a=0C45 d=F5 slot=D4 n=15
 15081 MW     a=F0CA d=09 slot=D4 n=6
 15099 MW     a=F0C9 d=44 slot=D4 n=6
 15111 M1     a=0C46 d=FD slot=D4 n=15
 15141 M1     a=0C47 d=E5 slot=D4 n=15
 15183 MW     a=F0C8 d=01 slot=D4 n=6
 15201 MW     a=F0C7 d=A8 slot=D4 n=6
 15213 M1     a=0C48 d=DD slot=D4 n=15
 15243 M1     a=0C49 d=E5 slot=D4 n=15
 15285 MW     a=F0C6 d=E0 slot=D4 n=6
 15303 MW     a=F0C5 d=00 slot=D4 n=6
 15315 M1     a=0C4A d=CD slot=D4 n=15
 15345 MR     a=0C4B d=9A slot=D4 n=12
 15363 MR     a=0C4C d=FD slot=D4 n=12
 15393 MW     a=F0C4 d=0C slot=D4 n=6
 15411 MW     a=F0C3 d=4D slot=D4 n=6
 15423 M1     a=FD9A d=C9 slot=D4 n=15
 15453 MR     a=F0C3 d=4D slot=D4 n=12
 15471 MR     a=F0C4 d=0C slot=D4 n=12
 15489 M1     a=0C4D d=CD slot=D4 n=15
 15519 MR     a=0C4E d=79 slot=D4 n=12
 15537 MR     a=0C4F d=14 slot=D4 n=12
 15567 MW     a=F0C4 d=0C slot=D4 n=6
 15585 MW     a=F0C3 d=50 slot=D4 n=6
 15597 M1     a=1479 d=DB slot=D4 n=15
 15627 MR     a=147A d=BA slot=D4 n=12
 15648 IOR    a=09BA d=FF slot=D4 n=15
 15669 M1     a=147B d=E6 slot=D4 n=15
 15699 MR     a=147C d=10 slot=D4 n=12
 15717 M1     a=147D d=20 slot=D4 n=15
 15747 MR     a=147E d=0D slot=D4 n=12
 15795 M1     a=148C d=DB slot=D4 n=15
 15825 MR     a=148D d=99 slot=D4 n=12
 15846 IOR    a=1099 d=1F slot=D4 n=15
 15867 M1     a=148E d=A7 slot=D4 n=15
 15897 M1     a=148F d=C9 slot=D4 n=15
 15927 MR     a=F0C3 d=50 slot=D4 n=12
 15945 MR     a=F0C4 d=0C slot=D4 n=12
 15963 M1     a=0C50 d=F2 slot=D4 n=15
 15993 MR     a=0C51 d=02 slot=D4 n=12
 16011 MR     a=0C52 d=0D slot=D4 n=12
 16029 M1     a=0D02 d=DD slot=D4 n=15
 16059 M1     a=0D03 d=E1 slot=D4 n=15
 16089 MR     a=F0C5 d=00 slot=D4 n=12
 16107 MR     a=F0C6 d=E0 slot=D4 n=12
 16125 M1     a=0D04 d=FD slot=D4 n=15
 16155 M1     a=0D05 d=E1 slot=D4 n=15
 16185 MR     a=F0C7 d=A8 slot=D4 n=12
 16203 MR     a=F0C8 d=01 slot=D4 n=12
 16221 M1     a=0D06 d=F1 slot=D4 n=15
 16251 MR     a=F0C9 d=44 slot=D4 n=12
 16269 MR     a=F0CA d=09 slot=D4 n=12
 16287 M1     a=0D07 d=C1 slot=D4 n=15
 16317 MR     a=F0CB d=FC slot=D4 n=12
 16335 MR     a=F0CC d=5F slot=D4 n=12
 16353 M1     a=0D08 d=D1 slot=D4 n=15
 16383 MR     a=F0CD d=80 slot=D4 n=3
