# 16385 samples -> 666 bus cycles
  2913 MR     a=8B8B d=1A slot=D4 n=12
  2931 MR     a=8B8C d=C8 slot=D4 n=12
  2955 MW     a=C81A d=01 slot=D4 n=6
  2967 M1     a=8B8D d=5F slot=D4 n=15
  2997 M1     a=8B8E d=16 slot=D4 n=15
  3027 MR     a=8B8F d=00 slot=D4 n=12
  3045 M1     a=8B90 d=19 slot=D4 n=15
  3117 M1     a=8B91 d=7E slot=D4 n=15
  3147 MR     a=8D42 d=00 slot=D4 n=12
  3165 M1     a=8B92 d=32 slot=D4 n=15
  3195 MR     a=8B93 d=1C slot=D4 n=12
  3213 MR     a=8B94 d=C8 slot=D4 n=12
  3237 MW     a=C81C d=00 slot=D4 n=6
  3249 M1     a=8B95 d=AF slot=D4 n=15
  3279 M1     a=8B96 d=C9 slot=D4 n=15
  3309 MR     a=F0CE d=F7 slot=D4 n=12
  3327 MR     a=F0CF d=86 slot=D4 n=12
  3345 M1     a=86F7 d=3A slot=D4 n=15
  3375 MR     a=86F8 d=2E slot=D4 n=12
  3393 MR     a=86F9 d=C8 slot=D4 n=12
  3411 MR     a=C82E d=00 slot=D4 n=12
  3429 M1     a=86FA d=E6 slot=D4 n=15
  3459 MR     a=86FB d=F0 slot=D4 n=12
  3477 M1     a=86FC d=FE slot=D4 n=15
  3507 MR     a=86FD d=28 slot=D4 n=12
  3525 M1     a=86FE d=28 slot=D4 n=15
  3555 MR     a=86FF d=03 slot=D4 n=12
  3573 M1     a=8700 d=FE slot=D4 n=15
  3603 MR     a=8701 d=20 slot=D4 n=12
  3621 M1     a=8702 d=C0 slot=D4 n=15
  3657 MR     a=F0D0 d=15 slot=D4 n=12
  3675 MR     a=F0D1 d=86 slot=D4 n=12
  3693 M1     a=8615 d=CD slot=D4 n=15
  3723 MR     a=8616 d=67 slot=D4 n=12
  3741 MR     a=8617 d=89 slot=D4 n=12
  3771 MW     a=F0D1 d=86 slot=D4 n=6
  3789 MW     a=F0D0 d=18 slot=D4 n=6
  3801 M1     a=8967 d=3A slot=D4 n=15
  3831 MR     a=8968 d=02 slot=D4 n=12
  3849 MR     a=8969 d=D4 slot=D4 n=12
  3867 MR     a=D402 d=00 slot=D4 n=12
