# 16383 samples -> 650 bus cycles
 13137 MR     a=F0A8 d=EC slot=D7 n=12
 13155 MR     a=F0A9 d=06 slot=D7 n=12
 13173 M1     a=06EC d=D1 slot=D7 n=15
 13203 MR     a=F0AA d=80 slot=D7 n=12
 13221 MR     a=F0AB d=00 slot=D7 n=12
 13239 M1     a=06ED d=C1 slot=D7 n=15
 13269 MR     a=F0AC d=08 slot=D7 n=12
 13287 MR     a=F0AD d=08 slot=D7 n=12
 13305 M1     a=06EE d=E1 slot=D7 n=15
 13335 MR     a=F0AE d=00 slot=D7 n=12
 13353 MR     a=F0AF d=CB slot=D7 n=12
 13371 M1     a=06EF d=F1 slot=D7 n=15
 13401 MR     a=F0B0 d=44 slot=D7 n=12
 13419 MR     a=F0B1 d=00 slot=D7 n=12
 13437 M1     a=06F0 d=E0 slot=D7 n=15
 13473 M1     a=06F1 d=FB slot=D7 n=15
 13503 M1     a=06F2 d=C9 slot=D7 n=15
 13533 MR     a=F0B2 d=92 slot=D7 n=12
 13551 MR     a=F0B3 d=F3 slot=D7 n=12
 13569 M1     a=F392 d=08 slot=D7 n=15
 13599 M1     a=F393 d=F1 slot=D7 n=15
 13629 MR     a=F0B4 d=14 slot=D7 n=12
 13647 MR     a=F0B5 d=D4 slot=D7 n=12
 13665 M1     a=F394 d=D3 slot=D7 n=15
 13695 MR     a=F395 d=A8 slot=D7 n=12
 13716 IOW    a=D4A8 d=D4 slot=D4 n=15
 13737 M1     a=F396 d=08 slot=D4 n=15
 13767 M1     a=F397 d=C9 slot=D4 n=15
 13797 MR     a=F0B6 d=14 slot=D4 n=12
 13815 MR     a=F0B7 d=03 slot=D4 n=12
 13833 M1     a=0314 d=D9 slot=D4 n=15
 13863 M1     a=0315 d=08 slot=D4 n=15
 13893 M1     a=0316 d=E1 slot=D4 n=15
 13923 MR     a=F0B8 d=C8 slot=D4 n=12
 13941 MR     a=F0B9 d=FC slot=D4 n=12
 13959 M1     a=0317 d=C1 slot=D4 n=15
 13989 MR     a=F0BA d=C0 slot=D4 n=12
 14007 MR     a=F0BB d=D4 slot=D4 n=12
 14025 M1     a=0318 d=D1 slot=D4 n=15
 14055 MR     a=F0BC d=00 slot=D4 n=12
 14073 MR     a=F0BD d=FC slot=D4 n=12
 14091 M1     a=0319 d=ED slot=D4 n=15
 14121 M1     a=031A d=57 slot=D4 n=15
 14157 M1     a=031B d=F5 slot=D4 n=15
 14199 MW     a=F0BD d=00 slot=D4 n=6
 14217 MW     a=F0BC d=44 slot=D4 n=6
 14229 M1     a=031C d=78 slot=D4 n=15
 14259 M1     a=031D d=E6 slot=D4 n=15
 14289 MR     a=031E d=3F slot=D4 n=12
 14307 M1     a=031F d=B1 slot=D4 n=15
 14337 M1     a=0320 d=F3 slot=D4 n=15
 14367 M1     a=0321 d=D3 slot=D4 n=15
 14397 MR     a=0322 d=A8 slot=D4 n=12
 14418 IOW    a=D4A8 d=D4 slot=D4 n=15
 14439 M1     a=0323 d=7B slot=D4 n=15
 14469 M1     a=0324 d=32 slot=D4 n=15
 14499 MR     a=0325 d=FF slot=D4 n=12
 14517 MR     a=0326 d=FF slot=D4 n=12
 14541 MW     a=FFFF d=00 slot=D4 n=6
 14553 M1     a=0327 d=78 slot=D4 n=15
 14583 M1     a=0328 d=D3 slot=D4 n=15
 14613 MR     a=0329 d=A8 slot=D4 n=12
 14634 IOW    a=D4A8 d=D4 slot=D4 n=15
 14655 M1     a=032A d=73 slot=D4 n=15
 14691 MW     a=FCC8 d=00 slot=D4 n=6
 14703 M1     a=032B d=F1 slot=D4 n=15
 14733 MR     a=F0BC d=44 slot=D4 n=12
 14751 MR     a=F0BD d=00 slot=D4 n=12
 14769 M1     a=032C d=E2 slot=D4 n=15
 14799 MR     a=032D d=30 slot=D4 n=12
 14817 MR     a=032E d=03 slot=D4 n=12
 14835 M1     a=032F d=FB slot=D4 n=15
 14865 M1     a=0330 d=08 slot=D4 n=15
 14895 M1     a=0331 d=D9 slot=D4 n=15
 14925 M1     a=0332 d=C9 slot=D4 n=15
 14955 MR     a=F0BE d=AF slot=D4 n=12
 14973 MR     a=F0BF d=02 slot=D4 n=12
 14991 M1     a=02AF d=FD slot=D4 n=15
 15021 M1     a=02B0 d=E1 slot=D4 n=15
 15051 MR     a=F0C0 d=A8 slot=D4 n=12
 15069 MR     a=F0C1 d=01 slot=D4 n=12
 15087 M1     a=02B1 d=08 slot=D4 n=15
 15117 M1     a=02B2 d=D9 slot=D4 n=15
 15147 M1     a=02B3 d=F1 slot=D4 n=15
 15177 MR     a=F0C2 d=44 slot=D4 n=12
 15195 MR     a=F0C3 d=00 slot=D4 n=12
 15213 M1     a=02B4 d=E2 slot=D4 n=15
 15243 MR     a=02B5 d=B8 slot=D4 n=12
 15261 MR     a=02B6 d=02 slot=D4 n=12
 15279 M1     a=02B7 d=FB slot=D4 n=15
 15309 M1     a=02B8 d=F1 slot=D4 n=15
 15339 MR     a=F0C4 d=44 slot=D4 n=12
 15357 MR     a=F0C5 d=00 slot=D4 n=12
 15375 M1     a=02B9 d=C1 slot=D4 n=15
 15405 MR     a=F0C6 d=08 slot=D4 n=12
 15423 MR     a=F0C7 d=60 slot=D4 n=12
 15441 M1     a=02BA d=D1 slot=D4 n=15
 15471 MR     a=F0C8 d=60 slot=D4 n=12
 15489 MR     a=F0C9 d=E3 slot=D4 n=12
 15507 M1     a=02BB d=E1 slot=D4 n=15
 15537 MR     a=F0CA d=00 slot=D4 n=12
 15555 MR     a=F0CB d=CB slot=D4 n=12
 15573 M1     a=02BC d=D9 slot=D4 n=15
 15603 M1     a=02BD d=08 slot=D4 n=15
 15633 M1     a=02BE d=C9 slot=D4 n=15
 15663 MR     a=F0CC d=98 slot=D4 n=12
 15681 MR     a=F0CD d=02 slot=D4 n=12
 15699 M1     a=0298 d=DD slot=D4 n=15
 15729 M1     a=0299 d=E1 slot=D4 n=15
 15759 MR     a=F0CE d=00 slot=D4 n=12
 15777 MR     a=F0CF d=D3 slot=D4 n=12
 15795 M1     a=029A d=C9 slot=D4 n=15
 15825 MR     a=F0D0 d=B6 slot=D4 n=12
 15843 MR     a=F0D1 d=5D slot=D4 n=12
 15861 M1     a=5DB6 d=01 slot=D4 n=15
 15891 MR     a=5DB7 d=07 slot=D4 n=12
 15909 MR     a=5DB8 d=0F slot=D4 n=12
 15927 M1     a=5DB9 d=CD slot=D4 n=15
 15957 MR     a=5DBA d=47 slot=D4 n=12
 15975 MR     a=5DBB d=00 slot=D4 n=12
 16005 MW     a=F0D1 d=5D slot=D4 n=6
 16023 MW     a=F0D0 d=BC slot=D4 n=6
 16035 M1     a=0047 d=C3 slot=D4 n=15
 16065 MR     a=0048 d=12 slot=D4 n=12
 16083 MR     a=0049 d=06 slot=D4 n=12
 16101 M1     a=0612 d=79 slot=D4 n=15
 16131 M1     a=0613 d=A7 slot=D4 n=15
 16161 M1     a=0614 d=20 slot=D4 n=15
 16191 MR     a=0615 d=07 slot=D4 n=12
 16239 M1     a=061D d=FE slot=D4 n=15
 16269 MR     a=061E d=08 slot=D4 n=12
 16287 M1     a=061F d=38 slot=D4 n=15
 16317 MR     a=0620 d=08 slot=D4 n=12
 16365 M1     a=0629 d=78 slot=D4 n=15
