# 16385 samples -> 686 bus cycles
 12534 MW     a=F159 d=01 slot=D4 n=6
 12552 MW     a=F158 d=A8 slot=D4 n=6
 12564 M1     a=0C48 d=DD slot=D4 n=15
 12594 M1     a=0C49 d=E5 slot=D4 n=15
 12636 MW     a=F157 d=E0 slot=D4 n=6
 12654 MW     a=F156 d=00 slot=D4 n=6
 12666 M1     a=0C4A d=CD slot=D4 n=15
 12696 MR     a=0C4B d=9A slot=D4 n=12
 12714 MR     a=0C4C d=FD slot=D4 n=12
 12744 MW     a=F155 d=0C slot=D4 n=6
 12762 MW     a=F154 d=4D slot=D4 n=6
 12774 M1     a=FD9A d=C9 slot=D4 n=15
 12804 MR     a=F154 d=4D slot=D4 n=12
 12822 MR     a=F155 d=0C slot=D4 n=12
 12840 M1     a=0C4D d=CD slot=D4 n=15
 12870 MR     a=0C4E d=79 slot=D4 n=12
 12888 MR     a=0C4F d=14 slot=D4 n=12
 12918 MW     a=F155 d=0C slot=D4 n=6
 12936 MW     a=F154 d=50 slot=D4 n=6
 12948 M1     a=1479 d=DB slot=D4 n=15
 12978 MR     a=147A d=BA slot=D4 n=12
 12999 IOR    a=98BA d=FF slot=D4 n=15
 13020 M1     a=147B d=E6 slot=D4 n=15
 13050 MR     a=147C d=10 slot=D4 n=12
 13068 M1     a=147D d=20 slot=D4 n=15
 13098 MR     a=147E d=0D slot=D4 n=12
 13146 M1     a=148C d=DB slot=D4 n=15
 13176 MR     a=148D d=99 slot=D4 n=12
 13197 IOR    a=1099 d=1F slot=D4 n=15
 13218 M1     a=148E d=A7 slot=D4 n=15
 13248 M1     a=148F d=C9 slot=D4 n=15
 13278 MR     a=F154 d=50 slot=D4 n=12
 13296 MR     a=F155 d=0C slot=D4 n=12
 13314 M1     a=0C50 d=F2 slot=D4 n=15
 13344 MR     a=0C51 d=02 slot=D4 n=12
 13362 MR     a=0C52 d=0D slot=D4 n=12
 13380 M1     a=0D02 d=DD slot=D4 n=15
 13410 M1     a=0D03 d=E1 slot=D4 n=15
 13440 MR     a=F156 d=00 slot=D4 n=12
 13458 MR     a=F157 d=E0 slot=D4 n=12
 13476 M1     a=0D04 d=FD slot=D4 n=15
 13506 M1     a=0D05 d=E1 slot=D4 n=15
 13536 MR     a=F158 d=A8 slot=D4 n=12
 13554 MR     a=F159 d=01 slot=D4 n=12
 13572 M1     a=0D06 d=F1 slot=D4 n=15
 13602 MR     a=F15A d=44 slot=D4 n=12
 13620 MR     a=F15B d=98 slot=D4 n=12
 13638 M1     a=0D07 d=C1 slot=D4 n=15
 13668 MR     a=F15C d=10 slot=D4 n=12
 13686 MR     a=F15D d=5F slot=D4 n=12
 13704 M1     a=0D08 d=D1 slot=D4 n=15
 13734 MR     a=F15E d=27 slot=D4 n=12
 13752 MR     a=F15F d=55 slot=D4 n=12
 13770 M1     a=0D09 d=E1 slot=D4 n=15
 13800 MR     a=F160 d=36 slot=D4 n=12
 13818 MR     a=F161 d=55 slot=D4 n=12
 13836 M1     a=0D0A d=08 slot=D4 n=15
 13866 M1     a=0D0B d=D9 slot=D4 n=15
 13896 M1     a=0D0C d=F1 slot=D4 n=15
 13926 MR     a=F162 d=00 slot=D4 n=12
 13944 MR     a=F163 d=01 slot=D4 n=12
 13962 M1     a=0D0D d=C1 slot=D4 n=15
 13992 MR     a=F164 d=00 slot=D4 n=12
 14010 MR     a=F165 d=00 slot=D4 n=12
 14028 M1     a=0D0E d=D1 slot=D4 n=15
 14058 MR     a=F166 d=5C slot=D4 n=12
 14076 MR     a=F167 d=98 slot=D4 n=12
 14094 M1     a=0D0F d=E1 slot=D4 n=15
 14124 MR     a=F168 d=83 slot=D4 n=12
 14142 MR     a=F169 d=01 slot=D4 n=12
 14160 M1     a=0D10 d=FB slot=D4 n=15
 14190 M1     a=0D11 d=C9 slot=D4 n=15
 14220 MR     a=F16A d=7F slot=D4 n=12
 14238 MR     a=F16B d=F3 slot=D4 n=12
 14256 M1     a=F37F d=00 slot=D4 n=15
 14286 M1     a=F380 d=D3 slot=D4 n=15
 14316 MR     a=F381 d=A8 slot=D4 n=12
 14337 IOW    a=01A8 d=01 slot=01 n=15
 14358 M1     a=F382 d=FF slot=01 n=15
 14400 MW     a=F16B d=F3 slot=01 n=6
 14418 MW     a=F16A d=83 slot=01 n=6
 14430 M1     a=0038 d=FF slot=01 n=15
 14472 MW     a=F169 d=00 slot=01 n=6
 14490 MW     a=F168 d=39 slot=01 n=6
 14502 M1     a=0038 d=FF slot=01 n=15
 14544 MW     a=F167 d=00 slot=01 n=6
 14562 MW     a=F166 d=39 slot=01 n=6
 14574 M1     a=0038 d=FF slot=01 n=15
 14616 MW     a=F165 d=00 slot=01 n=6
 14634 MW     a=F164 d=39 slot=01 n=6
 14646 M1     a=0038 d=FF slot=01 n=15
 14688 MW     a=F163 d=00 slot=01 n=6
 14706 MW     a=F162 d=39 slot=01 n=6
 14718 M1     a=0038 d=FF slot=01 n=15
 14760 MW     a=F161 d=00 slot=01 n=6
 14778 MW     a=F160 d=39 slot=01 n=6
 14790 M1     a=0038 d=FF slot=01 n=15
 14832 MW     a=F15F d=00 slot=01 n=6
 14850 MW     a=F15E d=39 slot=01 n=6
 14862 M1     a=0038 d=FF slot=01 n=15
 14904 MW     a=F15D d=00 slot=01 n=6
 14922 MW     a=F15C d=39 slot=01 n=6
 14934 M1     a=0038 d=FF slot=01 n=15
 14976 MW     a=F15B d=00 slot=01 n=6
 14994 MW     a=F15A d=39 slot=01 n=6
 15006 M1     a=0038 d=FF slot=01 n=15
 15048 MW     a=F159 d=00 slot=01 n=6
 15066 MW     a=F158 d=39 slot=01 n=6
 15078 M1     a=0038 d=FF slot=01 n=15
 15120 MW     a=F157 d=00 slot=01 n=6
 15138 MW     a=F156 d=39 slot=01 n=6
 15150 M1     a=0038 d=FF slot=01 n=15
 15192 MW     a=F155 d=00 slot=01 n=6
 15210 MW     a=F154 d=39 slot=01 n=6
 15222 M1     a=0038 d=FF slot=01 n=15
 15264 MW     a=F153 d=00 slot=01 n=6
 15282 MW     a=F152 d=39 slot=01 n=6
 15294 M1     a=0038 d=FF slot=01 n=15
 15336 MW     a=F151 d=00 slot=01 n=6
 15354 MW     a=F150 d=39 slot=01 n=6
 15366 M1     a=0038 d=FF slot=01 n=15
 15408 MW     a=F14F d=00 slot=01 n=6
 15426 MW     a=F14E d=39 slot=01 n=6
 15438 M1     a=0038 d=FF slot=01 n=15
 15480 MW     a=F14D d=00 slot=01 n=6
 15498 MW     a=F14C d=39 slot=01 n=6
 15510 M1     a=0038 d=FF slot=01 n=15
 15552 MW     a=F14B d=00 slot=01 n=6
 15570 MW     a=F14A d=39 slot=01 n=6
 15582 M1     a=0038 d=FF slot=01 n=15
 15624 MW     a=F149 d=00 slot=01 n=6
 15642 MW     a=F148 d=39 slot=01 n=6
 15654 M1     a=0038 d=FF slot=01 n=15
 15696 MW     a=F147 d=00 slot=01 n=6
 15714 MW     a=F146 d=39 slot=01 n=6
 15726 M1     a=0038 d=FF slot=01 n=15
 15768 MW     a=F145 d=00 slot=01 n=6
 15786 MW     a=F144 d=39 slot=01 n=6
 15798 M1     a=0038 d=FF slot=01 n=15
 15840 MW     a=F143 d=00 slot=01 n=6
 15858 MW     a=F142 d=39 slot=01 n=6
 15870 M1     a=0038 d=FF slot=01 n=15
 15912 MW     a=F141 d=00 slot=01 n=6
 15930 MW     a=F140 d=39 slot=01 n=6
 15942 M1     a=0038 d=FF slot=01 n=15
 15984 MW     a=F13F d=00 slot=01 n=6
 16002 MW     a=F13E d=39 slot=01 n=6
 16014 M1     a=0038 d=FF slot=01 n=15
 16056 MW     a=F13D d=00 slot=01 n=6
 16074 MW     a=F13C d=39 slot=01 n=6
 16086 M1     a=0038 d=FF slot=01 n=15
 16128 MW     a=F13B d=00 slot=01 n=6
 16146 MW     a=F13A d=39 slot=01 n=6
 16158 M1     a=0038 d=FF slot=01 n=15
 16200 MW     a=F139 d=00 slot=01 n=6
 16218 MW     a=F138 d=39 slot=01 n=6
 16230 M1     a=0038 d=FF slot=01 n=15
 16272 MW     a=F137 d=00 slot=01 n=6
 16290 MW     a=F136 d=39 slot=01 n=6
 16302 M1     a=0038 d=FF slot=01 n=15
 16344 MW     a=F135 d=00 slot=01 n=6
 16362 MW     a=F134 d=39 slot=01 n=6
 16374 M1     a=0038 d=FF slot=01 n=12
