# 16385 samples -> 686 bus cycles
  2952 MR     a=0C51 d=02 slot=D4 n=12
  2970 MR     a=0C52 d=0D slot=D4 n=12
  2988 M1     a=0D02 d=DD slot=D4 n=15
  3018 M1     a=0D03 d=E1 slot=D4 n=15
  3048 MR     a=F156 d=00 slot=D4 n=12
  3066 MR     a=F157 d=E0 slot=D4 n=12
  3084 M1     a=0D04 d=FD slot=D4 n=15
  3114 M1     a=0D05 d=E1 slot=D4 n=15
  3144 MR     a=F158 d=A8 slot=D4 n=12
  3162 MR     a=F159 d=01 slot=D4 n=12
  3180 M1     a=0D06 d=F1 slot=D4 n=15
  3210 MR     a=F15A d=44 slot=D4 n=12
  3228 MR     a=F15B d=98 slot=D4 n=12
  3246 M1     a=0D07 d=C1 slot=D4 n=15
  3276 MR     a=F15C d=10 slot=D4 n=12
  3294 MR     a=F15D d=5F slot=D4 n=12
  3312 M1     a=0D08 d=D1 slot=D4 n=15
  3342 MR     a=F15E d=27 slot=D4 n=12
  3360 MR     a=F15F d=55 slot=D4 n=12
  3378 M1     a=0D09 d=E1 slot=D4 n=15
  3408 MR     a=F160 d=36 slot=D4 n=12
  3426 MR     a=F161 d=55 slot=D4 n=12
  3444 M1     a=0D0A d=08 slot=D4 n=15
  3474 M1     a=0D0B d=D9 slot=D4 n=15
  3504 M1     a=0D0C d=F1 slot=D4 n=15
  3534 MR     a=F162 d=00 slot=D4 n=12
  3552 MR     a=F163 d=01 slot=D4 n=12
  3570 M1     a=0D0D d=C1 slot=D4 n=15
  3600 MR     a=F164 d=00 slot=D4 n=12
  3618 MR     a=F165 d=00 slot=D4 n=12
  3636 M1     a=0D0E d=D1 slot=D4 n=15
  3666 MR     a=F166 d=5C slot=D4 n=12
  3684 MR     a=F167 d=98 slot=D4 n=12
  3702 M1     a=0D0F d=E1 slot=D4 n=15
  3732 MR     a=F168 d=83 slot=D4 n=12
  3750 MR     a=F169 d=01 slot=D4 n=12
  3768 M1     a=0D10 d=FB slot=D4 n=15
  3798 M1     a=0D11 d=C9 slot=D4 n=15
  3828 MR     a=F16A d=77 slot=D4 n=12
  3846 MR     a=F16B d=F3 slot=D4 n=12
  3864 M1     a=F377 d=00 slot=D4 n=15
  3894 M1     a=F378 d=FF slot=D4 n=15
  3936 MW     a=F16B d=F3 slot=D4 n=6
  3954 MW     a=F16A d=79 slot=D4 n=6
  3966 M1     a=0038 d=C3 slot=D4 n=15
  3996 MR     a=0039 d=3C slot=D4 n=12
  4014 MR     a=003A d=0C slot=D4 n=12
  4032 M1     a=0C3C d=E5 slot=D4 n=15
  4074 MW     a=F169 d=01 slot=D4 n=6
  4092 MW     a=F168 d=83 slot=D4 n=6
  4104 M1     a=0C3D d=D5 slot=D4 n=15
  4146 MW     a=F167 d=98 slot=D4 n=6
  4164 MW     a=F166 d=5C slot=D4 n=6
  4176 M1     a=0C3E d=C5 slot=D4 n=15
  4218 MW     a=F165 d=00 slot=D4 n=6
  4236 MW     a=F164 d=00 slot=D4 n=6
  4248 M1     a=0C3F d=F5 slot=D4 n=15
  4290 MW     a=F163 d=01 slot=D4 n=6
  4308 MW     a=F162 d=00 slot=D4 n=6
  4320 M1     a=0C40 d=D9 slot=D4 n=15
  4350 M1     a=0C41 d=08 slot=D4 n=15
  4380 M1     a=0C42 d=E5 slot=D4 n=15
  4422 MW     a=F161 d=55 slot=D4 n=6
  4440 MW     a=F160 d=36 slot=D4 n=6
